| 交易所 |       品种       |      合约      |开仓日期 |   投/保    |买/卖|持仓量 |    开仓价     |     昨结算     |     结算价     |  浮动盈亏  |  盯市盈亏 |  保证金   |       期权市值       |
|Exchange|     Product      |   Instrument   |Open Date|    S/H     | B/S |Positon|Pos. Open Price|   Prev. Sttl   |Settlement Price| Accum. P/L |  MTM P/L  |  Margin   | Market Value(Options)|
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.800|         473.400|         475.400|   -36400.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        511.900|         473.400|         475.400|   -73000.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.900|         473.400|         475.400|   -36500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.900|         473.400|         475.400|   -36500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.900|         473.400|         475.400|   -36500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        511.700|         473.400|         475.400|   -72600.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.800|         473.400|         475.400|   -36400.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.900|         473.400|         475.400|   -36500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.900|         473.400|         475.400|   -36500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.900|         473.400|         475.400|   -36500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.900|         473.400|         475.400|   -36500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.900|         473.400|         475.400|   -36500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        511.800|         473.400|         475.400|   -72800.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        511.900|         473.400|         475.400|   -73000.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.900|         473.400|         475.400|   -36500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.800|         473.400|         475.400|   -36400.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.800|         473.400|         475.400|   -36400.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.800|         473.400|         475.400|   -36400.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.800|         473.400|         475.400|   -36400.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.800|         473.400|         475.400|   -36400.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.800|         473.400|         475.400|   -36400.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.800|         473.400|         475.400|   -36400.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        511.600|         473.400|         475.400|   -72400.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.600|         473.400|         475.400|   -36200.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.600|         473.400|         475.400|   -36200.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.700|         473.400|         475.400|   -36300.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.600|         473.400|         475.400|   -36200.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.600|         473.400|         475.400|   -36200.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.600|         473.400|         475.400|   -36200.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        511.600|         473.400|         475.400|   -72400.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.500|         473.400|         475.400|   -36100.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.500|         473.400|         475.400|   -36100.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.500|         473.400|         475.400|   -36100.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.500|         473.400|         475.400|   -36100.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.600|         473.400|         475.400|   -36200.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.500|         473.400|         475.400|   -36100.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.500|         473.400|         475.400|   -36100.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      1|        511.500|         473.400|         475.400|   -36100.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211117| 套保       |买   |      2|        511.500|         473.400|         475.400|   -72200.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      2|        507.900|         473.400|         475.400|   -65000.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      1|        507.900|         473.400|         475.400|   -32500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      1|        507.900|         473.400|         475.400|   -32500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      1|        507.900|         473.400|         475.400|   -32500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      1|        507.900|         473.400|         475.400|   -32500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      1|        507.900|         473.400|         475.400|   -32500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      2|        507.900|         473.400|         475.400|   -65000.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      1|        507.900|         473.400|         475.400|   -32500.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      1|        508.000|         473.400|         475.400|   -32600.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      1|        508.100|         473.400|         475.400|   -32700.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      1|        508.100|         473.400|         475.400|   -32700.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      2|        508.100|         473.400|         475.400|   -65400.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      2|        508.100|         473.400|         475.400|   -65400.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      1|        508.100|         473.400|         475.400|   -32700.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      2|        508.100|         473.400|         475.400|   -65400.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      1|        508.100|         473.400|         475.400|   -32700.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      1|        508.100|         473.400|         475.400|   -32700.00|    2000.00|   47540.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      4|        508.100|         473.400|         475.400|  -130800.00|    8000.00|  190160.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      2|        508.100|         473.400|         475.400|   -65400.00|    4000.00|   95080.00|                  0.00|
|能源中心|       原油       |     sc2201     | 20211118| 套保       |买   |      2|        508.100|         473.400|         475.400|   -65400.00|    4000.00|   95080.00|                  0.00|
